time,ecg
1710814957505,98
1710814957513,90
1710814957521,93
1710814957529,105
1710814957536,112
1710814957544,103
1710814957552,93
1710814957559,98
1710814957567,115
1710814957575,132
1710814957582,139
1710814957590,137
1710814957598,117
1710814957605,93
1710814957613,88
1710814957621,95
1710814957628,105
1710814957636,107
1710814957644,105
1710814957651,100
1710814957659,110
1710814957667,171
1710814957673,345
1710814957681,613
1710814957689,763
1710814957697,488
1710814957705,-112
1710814957713,-370
1710814957720,-105
1710814957728,56
1710814957736,-17
1710814957743,12
1710814957751,76
1710814957759,44
1710814957766,19
1710814957774,46
1710814957782,66
1710814957789,71
1710814957797,80
1710814957805,85
1710814957813,93
1710814957820,107
1710814957828,132
1710814957836,152
1710814957843,169
1710814957851,176
1710814957859,171
1710814957865,184
1710814957873,208
1710814957881,223
1710814957889,238
1710814957897,255
1710814957905,267
1710814957912,269
1710814957920,252
1710814957928,233
1710814957935,235
1710814957943,230
1710814957951,184
1710814957958,139
1710814957966,115
1710814957974,85
1710814957981,66
1710814957989,76
1710814957997,71
1710814958004,29
1710814958012,19
1710814958020,34
1710814958027,29
1710814958035,44
1710814958043,68
1710814958049,68
1710814958057,68
1710814958065,76
1710814958073,80
1710814958081,83
1710814958089,80
1710814958097,73
1710814958104,80
1710814958112,90
1710814958120,88
1710814958127,93
1710814958135,103
1710814958143,95
1710814958150,85
1710814958158,95
1710814958166,103
1710814958173,90
1710814958181,78
1710814958189,78
1710814958196,83
1710814958204,88
1710814958212,88
1710814958219,85
1710814958227,85
1710814958235,88
1710814958241,100
1710814958249,117
1710814958257,115
1710814958265,83
1710814958273,46
1710814958281,39
1710814958288,51
1710814958296,53
1710814958304,53
1710814958311,53
1710814958319,53
1710814958327,61
1710814958334,110
1710814958342,262
1710814958350,525
1710814958357,726
1710814958365,581
1710814958373,36
1710814958380,-360
1710814958388,-198
1710814958396,14
1710814958404,-24
1710814958411,14
1710814958419,90
1710814958427,51
1710814958433,51
1710814958441,110
1710814958449,105
1710814958457,78
1710814958465,98
1710814958473,117
1710814958480,107
1710814958488,105
1710814958496,120
1710814958503,125
1710814958511,107
1710814958519,110
1710814958526,142
1710814958534,166
1710814958542,186
1710814958549,213
1710814958557,240
1710814958565,260
1710814958572,272
1710814958580,279
1710814958588,282
1710814958595,274
1710814958603,260
1710814958611,242
1710814958617,208
1710814958625,159
1710814958633,122
1710814958641,93
1710814958649,66
1710814958657,44
1710814958664,31
1710814958672,19
1710814958680,7
1710814958688,14
1710814958695,29
1710814958703,26
1710814958711,17
1710814958718,19
1710814958726,22
1710814958734,24
1710814958741,31
1710814958749,34
1710814958757,24
1710814958764,17
1710814958772,24
1710814958780,31
1710814958787,31
1710814958795,29
1710814958803,19
1710814958809,7
1710814958817,12
1710814958825,24
1710814958833,22
1710814958841,12
1710814958849,9
1710814958856,12
1710814958864,17
1710814958872,19
1710814958879,22
1710814958887,26
1710814958895,26
1710814958902,24
1710814958910,26
1710814958918,29
1710814958925,31
1710814958933,44
1710814958941,61
1710814958948,61
1710814958956,51
1710814958964,39
1710814958971,31
1710814958979,39
1710814958987,36
1710814958995,22
1710814959001,26
1710814959009,31
1710814959017,39
1710814959025,95
1710814959033,250
1710814959041,507
1710814959048,682
1710814959056,412
1710814959064,-213
1710814959071,-451
1710814959079,-166
1710814959087,-22
1710814959094,-66
1710814959102,0
1710814959110,53
1710814959117,34
1710814959125,31
1710814959133,31
1710814959140,39
1710814959148,61
1710814959156,66
1710814959163,66
1710814959171,80
1710814959179,90
1710814959185,93
1710814959193,98
1710814959201,105
1710814959209,112
1710814959217,122
1710814959225,132
1710814959232,149
1710814959240,161
1710814959248,169
1710814959255,191
1710814959263,211
1710814959271,215
1710814959279,220
1710814959286,225
1710814959294,220
1710814959302,198
1710814959309,171
1710814959317,142
1710814959325,110
1710814959332,83
1710814959340,63
